Time,WC,WT,WL,AH,AT,HS
Sun May 15 13:15:28 2022,31.823109371543595,25.3125,1998,78.57562017483176,22.3015625,0
Sun May 15 13:16:00 2022,31.29206191601519,25.3125,1766,79.3711734031661,22.321875,0
Sun May 15 13:16:32 2022,31.969989732589877,25.3125,1594,74.16231055554611,22.316796875,0
Sun May 15 13:17:04 2022,33.381210954804935,25.3125,1549,84.8950636919311,22.326953125,0
Sun May 15 13:17:36 2022,32.38744709201207,25.25,1348,78.14581941332779,22.3015625,0
Sun May 15 13:18:08 2022,31.764955285055986,25.25,1260,82.14575041284458,22.2810546875,0
Sun May 15 13:18:40 2022,32.170475192297026,25.1875,1095,79.03055769467402,22.2404296875,0
Sun May 15 13:19:12 2022,32.224662837834444,25.1875,919,83.75469138409302,22.2404296875,0
Sun May 15 13:19:44 2022,32.28056963802007,25.1875,750,83.87895331075168,22.2607421875,0
Sun May 15 13:20:16 2022,32.0336263306533,25.125,619,81.78171768821866,22.286328125,0
Sun May 15 13:20:48 2022,32.21414852252324,25.125,658,86.88436167095935,22.31171875,0
Sun May 15 13:21:20 2022,32.38700136365006,25.125,451,80.40561069159658,22.2556640625,0
Sun May 15 13:21:52 2022,32.38310656667456,25.125,364,75.47133465114878,22.2251953125,0
Sun May 15 13:22:24 2022,32.43624354596638,25.125,255,84.73764323464844,22.2150390625,0
Sun May 15 13:22:56 2022,32.63845209960643,25.0625,173,76.7506640096546,22.1693359375,0
Sun May 15 13:23:28 2022,32.795618655902075,25.0625,26,77.13043494335538,22.1185546875,0
Sun May 15 13:24:00 2022,32.7953093318802,25.0625,-37,76.31913923129372,22.1033203125,0
Sun May 15 13:24:32 2022,32.53454977874298,25.0625,-71,74.34412482375369,22.1033203125,0
Sun May 15 13:25:04 2022,31.59602079319493,25.0,-87,73.89171341749122,22.0982421875,0
Sun May 15 13:25:36 2022,32.592503018158105,25.0,-206,77.77970335935144,22.1083984375,0
Sun May 15 13:26:08 2022,31.511094292557715,25.0,-210,83.14432700263232,22.1337890625,0
Sun May 15 13:26:40 2022,32.48735526034486,25.0,-316,82.06937683375891,22.1642578125,0
Sun May 15 13:27:12 2022,32.58986723040998,24.9375,-336,76.17682604949356,22.1287109375,0
Sun May 15 13:27:44 2022,32.74126051591767,24.9375,-373,82.53587060599476,22.1134765625,0
Sun May 15 13:28:16 2022,33.053985772017164,24.9375,-416,85.0220092157297,22.1744140625,0
Sun May 15 13:28:48 2022,32.997564205308386,24.9375,-407,81.25228872191386,22.1998046875,0
Sun May 15 13:29:20 2022,33.0002408737263,24.875,-452,81.74631918817937,22.1439453125,0
Sun May 15 13:29:52 2022,32.894960011267635,24.9375,-503,77.48594838667955,22.1185546875,0
Sun May 15 13:30:24 2022,32.946496469551604,24.875,-547,84.9502618037137,22.1439453125,0
Sun May 15 13:30:56 2022,33.04878383679178,24.875,-530,75.22849766823555,22.0830078125,0
Sun May 15 13:31:28 2022,32.95106130018093,24.8125,-634,69.70797306012916,22.0525390625,0
Sun May 15 13:32:00 2022,30.266943384446346,24.8125,-719,67.51649671290119,22.0373046875,0
Sun May 15 13:32:32 2022,31.787782158829284,24.8125,-718,80.20642712959605,22.0728515625,0
Sun May 15 13:33:04 2022,30.845113345757554,24.875,-717,78.82646743009919,22.1693359375,0
